algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sensitive-attr-accuracy,0-accuracy_over_1-accuracy,sensitive-attr-accuracyRatio,diff:1-accuracyto0-accuracy,sensitive-attr-accuracyDiff,0-TPR,1-TPR,sensitive-attr-TPR,0-TPR_over_1-TPR,sensitive-attr-TPRRatio,diff:1-TPRto0-TPR,sensitive-attr-TPRDiff,0-TNR,1-TNR,sensitive-attr-TNR,0-TNR_over_1-TNR,sensitive-attr-TNRRatio,diff:1-TNRto0-TNR,sensitive-attr-TNRDiff,0-FPR,1-FPR,sensitive-attr-FPR,0-FPR_over_1-FPR,sensitive-attr-FPRRatio,diff:1-FPRto0-FPR,sensitive-attr-FPRDiff,0-FNR,1-FNR,sensitive-attr-FNR,0-FNR_over_1-FNR,sensitive-attr-FNRRatio,diff:1-FNRto0-FNR,sensitive-attr-FNRDiff,0-PR,1-PR,sensitive-attr-PR,0-PR_over_1-PR,sensitive-attr-PRRatio,diff:1-PRto0-PR,sensitive-attr-PRDiff,0-calibration+,1-calibration+,sensitive-attr-calibration+,0-calibration+_over_1-calibration+,sensitive-attr-calibration+Ratio,diff:1-calibration+to0-calibration+,sensitive-attr-calibration+Diff,0-calibration-,1-calibration-,sensitive-attr-calibration-,0-calibration-_over_1-calibration-,sensitive-attr-calibration-Ratio,diff:1-calibration-to0-calibration-,sensitive-attr-calibration-Diff
FairGP_in_True_tar_0.2,s_as_input=True,1,0.9402985074626866,0.9130434782608695,1.0,0.9565217391304348,0.875760539039714,0.7896774193548387,0.7896774193548387,0.8539426523297491,0.967741935483871,0.9166666666666666,0.9422043010752688,1.055718475073314,1.055718475073314,1.0510752688172045,1.0510752688172045,0.9444444444444444,0.8928571428571429,0.9186507936507937,1.0577777777777777,1.0577777777777777,1.0515873015873014,1.0515873015873014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05555555555555558,0.1071428571428571,0.08134920634920634,0.5185185185185189,0.5185185185185189,0.9484126984126985,0.9484126984126985,0.5483870967741935,0.6944444444444444,0.621415770609319,0.7896774193548387,0.7896774193548387,0.8539426523297491,0.8539426523297491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07142857142857142,0.2727272727272727,0.17207792207792205,0.2619047619047619,0.2619047619047619,0.7987012987012987,0.7987012987012987
FairGP_in_True_tar_0.2,s_as_input=True,2,0.9701492537313433,0.9545454545454546,1.0,0.9772727272727273,0.9371135567164837,0.69377990430622,0.69377990430622,0.7676950998185118,0.9473684210526315,1.0,0.9736842105263157,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9090909090909091,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909094,0.0,0.04545454545454547,0.0,1.0,1.0909090909090908,1.0909090909090908,0.5263157894736842,0.7586206896551724,0.6424682395644283,0.69377990430622,0.69377990430622,0.7676950998185118,0.7676950998185118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.0,0.05555555555555555,0.0,1.0,1.1111111111111112,1.1111111111111112
FairGP_in_True_tar_0.2,s_as_input=True,3,0.9850746268656716,0.975,1.0,0.9875,0.9696280582927516,0.9375,0.9375,0.9625,1.0,0.9714285714285714,0.9857142857142858,1.0294117647058825,1.0294117647058825,1.0285714285714285,1.0285714285714285,1.0,0.9545454545454546,0.9772727272727273,1.0476190476190477,1.0476190476190477,1.0454545454545454,1.0454545454545454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.045454545454545414,0.022727272727272707,0.0,1.0,0.9545454545454546,0.9545454545454546,0.5625,0.6,0.58125,0.9375,0.9375,0.9625,0.9625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.07142857142857142,0.03571428571428571,0.0,1.0,0.9285714285714286,0.9285714285714286
FairGP_in_True_tar_0.2,s_as_input=True,4,0.9850746268656716,0.975609756097561,1.0,0.9878048780487805,0.9692657331337372,0.7045454545454545,0.7045454545454545,0.7903225806451613,1.0,0.967741935483871,0.9838709677419355,1.0333333333333332,1.0333333333333332,1.032258064516129,1.032258064516129,1.0,0.9565217391304348,0.9782608695652174,1.0454545454545454,1.0454545454545454,1.0434782608695652,1.0434782608695652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.04347826086956519,0.021739130434782594,0.0,1.0,0.9565217391304348,0.9565217391304348,0.5,0.7096774193548387,0.6048387096774194,0.7045454545454545,0.7045454545454545,0.7903225806451613,0.7903225806451613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.05555555555555555,0.0,1.0,0.8888888888888888,0.8888888888888888
FairGP_in_True_tar_0.2,s_as_input=True,5,0.9402985074626866,0.8947368421052632,1.0,0.9473684210526316,0.8867265032393299,0.5636856368563686,0.5636856368563686,0.6979362101313321,0.926829268292683,0.9615384615384616,0.9441838649155723,0.9639024390243902,0.9639024390243902,0.9652908067542214,0.9652908067542214,0.8421052631578947,0.9473684210526315,0.894736842105263,0.8888888888888888,0.8888888888888888,0.8947368421052632,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1578947368421053,0.052631578947368474,0.10526315789473689,2.999999999999998,2.999999999999998,1.1052631578947367,1.1052631578947367,0.3902439024390244,0.6923076923076923,0.5412757973733584,0.5636856368563686,0.5636856368563686,0.6979362101313321,0.6979362101313321,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12,0.125,0.1225,0.96,0.96,0.995,0.995
FairGP_in_True_tar_0.2,s_as_input=True,6,1.0,1.0,1.0,1.0,1.0,0.7238095238095238,0.7238095238095238,0.7928571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5428571428571428,0.75,0.6464285714285714,0.7238095238095238,0.7238095238095238,0.7928571428571428,0.7928571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
FairGP_in_True_tar_0.2,s_as_input=True,7,0.9850746268656716,0.975609756097561,1.0,0.9878048780487805,0.9692657331337372,0.6095238095238095,0.6095238095238095,0.7071428571428571,0.9714285714285714,1.0,0.9857142857142858,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9411764705882353,1.0,0.9705882352941176,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05882352941176472,0.0,0.02941176470588236,0.0,1.0,1.0588235294117647,1.0588235294117647,0.45714285714285713,0.75,0.6035714285714285,0.6095238095238095,0.6095238095238095,0.7071428571428571,0.7071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05263157894736842,0.0,0.02631578947368421,0.0,1.0,1.0526315789473684,1.0526315789473684
FairGP_in_True_tar_0.2,s_as_input=True,8,0.9552238805970149,0.9333333333333333,1.0,0.9666666666666667,0.9062744249582095,0.7828282828282829,0.7828282828282829,0.8458781362007168,0.9722222222222222,0.9354838709677419,0.953853046594982,1.039272030651341,1.039272030651341,1.0367383512544803,1.0367383512544803,0.9523809523809523,0.9166666666666666,0.9345238095238095,1.0389610389610389,1.0389610389610389,1.0357142857142856,1.0357142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.04761904761904767,0.08333333333333337,0.06547619047619052,0.5714285714285718,0.5714285714285718,0.9642857142857143,0.9642857142857143,0.5555555555555556,0.7096774193548387,0.6326164874551972,0.7828282828282829,0.7828282828282829,0.8458781362007168,0.8458781362007168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0625,0.2222222222222222,0.1423611111111111,0.28125,0.28125,0.8402777777777778,0.8402777777777778
FairGP_in_True_tar_0.2,s_as_input=True,9,0.9701492537313433,0.9512195121951219,1.0,0.975609756097561,0.9398272507881658,0.564042303172738,0.564042303172738,0.6657657657657657,0.972972972972973,0.9666666666666667,0.9698198198198198,1.0065237651444547,1.0065237651444547,1.0063063063063065,1.0063063063063065,0.9411764705882353,0.9583333333333334,0.9497549019607843,0.9820971867007672,0.9820971867007672,0.9828431372549019,0.9828431372549019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05882352941176472,0.04166666666666663,0.050245098039215674,1.4117647058823546,1.4117647058823546,1.017156862745098,1.017156862745098,0.43243243243243246,0.7666666666666667,0.5995495495495495,0.564042303172738,0.564042303172738,0.6657657657657657,0.6657657657657657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.14285714285714285,0.09523809523809523,0.3333333333333333,0.3333333333333333,0.9047619047619048,0.9047619047619048
FairGP_in_True_tar_0.3,s_as_input=True,0,0.9552238805970149,0.9333333333333333,1.0,0.9666666666666667,0.9062744249582095,0.6851851851851852,0.6851851851851852,0.7702702702702703,0.9333333333333333,0.972972972972973,0.9531531531531532,0.9592592592592593,0.9592592592592593,0.9603603603603603,0.9603603603603603,0.8823529411764706,0.9642857142857143,0.9233193277310925,0.9150326797385621,0.9150326797385621,0.9180672268907563,0.9180672268907563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.11764705882352944,0.0357142857142857,0.07668067226890757,3.2941176470588256,3.2941176470588256,1.0819327731092439,1.0819327731092439,0.5,0.7297297297297297,0.6148648648648649,0.6851851851851852,0.6851851851851852,0.7702702702702703,0.7702702702702703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0.1,0.11666666666666667,1.3333333333333333,1.3333333333333333,1.0333333333333332,1.0333333333333332
FairGP_in_True_tar_0.3,s_as_input=True,1,0.9402985074626866,0.9130434782608695,1.0,0.9565217391304348,0.875760539039714,0.7896774193548387,0.7896774193548387,0.8539426523297491,0.967741935483871,0.9166666666666666,0.9422043010752688,1.055718475073314,1.055718475073314,1.0510752688172045,1.0510752688172045,0.9444444444444444,0.8928571428571429,0.9186507936507937,1.0577777777777777,1.0577777777777777,1.0515873015873014,1.0515873015873014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05555555555555558,0.1071428571428571,0.08134920634920634,0.5185185185185189,0.5185185185185189,0.9484126984126985,0.9484126984126985,0.5483870967741935,0.6944444444444444,0.621415770609319,0.7896774193548387,0.7896774193548387,0.8539426523297491,0.8539426523297491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07142857142857142,0.2727272727272727,0.17207792207792205,0.2619047619047619,0.2619047619047619,0.7987012987012987,0.7987012987012987
FairGP_in_True_tar_0.3,s_as_input=True,2,0.9701492537313433,0.9545454545454546,1.0,0.9772727272727273,0.9371135567164837,0.69377990430622,0.69377990430622,0.7676950998185118,0.9473684210526315,1.0,0.9736842105263157,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9090909090909091,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909094,0.0,0.04545454545454547,0.0,1.0,1.0909090909090908,1.0909090909090908,0.5263157894736842,0.7586206896551724,0.6424682395644283,0.69377990430622,0.69377990430622,0.7676950998185118,0.7676950998185118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.0,0.05555555555555555,0.0,1.0,1.1111111111111112,1.1111111111111112
FairGP_in_True_tar_0.3,s_as_input=True,3,0.9850746268656716,0.975,1.0,0.9875,0.9696280582927516,0.9375,0.9375,0.9625,1.0,0.9714285714285714,0.9857142857142858,1.0294117647058825,1.0294117647058825,1.0285714285714285,1.0285714285714285,1.0,0.9545454545454546,0.9772727272727273,1.0476190476190477,1.0476190476190477,1.0454545454545454,1.0454545454545454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.045454545454545414,0.022727272727272707,0.0,1.0,0.9545454545454546,0.9545454545454546,0.5625,0.6,0.58125,0.9375,0.9375,0.9625,0.9625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.07142857142857142,0.03571428571428571,0.0,1.0,0.9285714285714286,0.9285714285714286
FairGP_in_True_tar_0.3,s_as_input=True,4,0.9850746268656716,0.975609756097561,1.0,0.9878048780487805,0.9692657331337372,0.7045454545454545,0.7045454545454545,0.7903225806451613,1.0,0.967741935483871,0.9838709677419355,1.0333333333333332,1.0333333333333332,1.032258064516129,1.032258064516129,1.0,0.9565217391304348,0.9782608695652174,1.0454545454545454,1.0454545454545454,1.0434782608695652,1.0434782608695652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.04347826086956519,0.021739130434782594,0.0,1.0,0.9565217391304348,0.9565217391304348,0.5,0.7096774193548387,0.6048387096774194,0.7045454545454545,0.7045454545454545,0.7903225806451613,0.7903225806451613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.05555555555555555,0.0,1.0,0.8888888888888888,0.8888888888888888
FairGP_in_True_tar_0.3,s_as_input=True,5,0.9701492537313433,0.9473684210526315,1.0,0.9736842105263157,0.9414073920247883,0.5673940949935815,0.5673940949935815,0.6838649155722327,0.9512195121951219,1.0,0.975609756097561,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.8947368421052632,1.0,0.9473684210526316,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.10526315789473684,0.0,0.05263157894736842,0.0,1.0,1.1052631578947367,1.1052631578947367,0.4146341463414634,0.7307692307692307,0.5727016885553471,0.5673940949935815,0.5673940949935815,0.6838649155722327,0.6838649155722327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.0,0.041666666666666664,0.0,1.0,1.0833333333333333,1.0833333333333333
FairGP_in_True_tar_0.3,s_as_input=True,6,1.0,1.0,1.0,1.0,1.0,0.7238095238095238,0.7238095238095238,0.7928571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5428571428571428,0.75,0.6464285714285714,0.7238095238095238,0.7238095238095238,0.7928571428571428,0.7928571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
FairGP_in_True_tar_0.3,s_as_input=True,7,1.0,1.0,1.0,1.0,1.0,0.6476190476190476,0.6476190476190476,0.7357142857142858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.4857142857142857,0.75,0.6178571428571429,0.6476190476190476,0.6476190476190476,0.7357142857142858,0.7357142857142858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
FairGP_in_True_tar_0.3,s_as_input=True,8,0.9552238805970149,0.9333333333333333,1.0,0.9666666666666667,0.9062744249582095,0.7828282828282829,0.7828282828282829,0.8458781362007168,0.9722222222222222,0.9354838709677419,0.953853046594982,1.039272030651341,1.039272030651341,1.0367383512544803,1.0367383512544803,0.9523809523809523,0.9166666666666666,0.9345238095238095,1.0389610389610389,1.0389610389610389,1.0357142857142856,1.0357142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.04761904761904767,0.08333333333333337,0.06547619047619052,0.5714285714285718,0.5714285714285718,0.9642857142857143,0.9642857142857143,0.5555555555555556,0.7096774193548387,0.6326164874551972,0.7828282828282829,0.7828282828282829,0.8458781362007168,0.8458781362007168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0625,0.2222222222222222,0.1423611111111111,0.28125,0.28125,0.8402777777777778,0.8402777777777778
FairGP_in_True_tar_0.3,s_as_input=True,9,0.9701492537313433,0.975609756097561,0.9615384615384616,0.9685741088180113,0.9371482176360225,0.6345475910693302,0.6345475910693302,0.7198198198198198,0.972972972972973,0.9666666666666667,0.9698198198198198,1.0065237651444547,1.0065237651444547,1.0063063063063065,1.0063063063063065,1.0,0.9583333333333334,0.9791666666666667,1.0434782608695652,1.0434782608695652,1.0416666666666665,1.0416666666666665,0.95,1.0,0.975,0.95,0.95,0.95,0.95,0.050000000000000044,0.0,0.025000000000000022,0.0,1.0,1.05,1.05,0.0,0.04166666666666663,0.020833333333333315,0.0,1.0,0.9583333333333334,0.9583333333333334,0.4864864864864865,0.7666666666666667,0.6265765765765766,0.6345475910693302,0.6345475910693302,0.7198198198198198,0.7198198198198198,0.9444444444444444,1.0,0.9722222222222222,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,0.14285714285714285,0.07142857142857142,0.0,1.0,0.8571428571428572,0.8571428571428572
