algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,race-accuracy,0-accuracy_over_1-accuracy,race-accuracyRatio,diff:1-accuracyto0-accuracy,race-accuracyDiff,0-TPR,1-TPR,race-TPR,0-TPR_over_1-TPR,race-TPRRatio,diff:1-TPRto0-TPR,race-TPRDiff,0-TNR,1-TNR,race-TNR,0-TNR_over_1-TNR,race-TNRRatio,diff:1-TNRto0-TNR,race-TNRDiff,0-FPR,1-FPR,race-FPR,0-FPR_over_1-FPR,race-FPRRatio,diff:1-FPRto0-FPR,race-FPRDiff,0-FNR,1-FNR,race-FNR,0-FNR_over_1-FNR,race-FNRRatio,diff:1-FNRto0-FNR,race-FNRDiff,0-PR,1-PR,race-PR,0-PR_over_1-PR,race-PRRatio,diff:1-PRto0-PR,race-PRDiff,0-calibration+,1-calibration+,race-calibration+,0-calibration+_over_1-calibration+,race-calibration+Ratio,diff:1-calibration+to0-calibration+,race-calibration+Diff,0-calibration-,1-calibration-,race-calibration-,0-calibration-_over_1-calibration-,race-calibration-Ratio,diff:1-calibration-to0-calibration-,race-calibration-Diff
FairGP_in_True_tar_0.1,s_as_input=True,4,0.925,0.8636363636363636,1.0,0.9318181818181819,0.8603834844182797,0.5952380952380951,0.5952380952380951,0.7733333333333332,0.8666666666666667,0.96,0.9133333333333333,0.9027777777777778,0.9027777777777778,0.9066666666666667,0.9066666666666667,0.7142857142857143,0.9333333333333333,0.8238095238095238,0.7653061224489796,0.7653061224489796,0.780952380952381,0.780952380952381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.06666666666666665,0.17619047619047618,4.2857142857142865,4.2857142857142865,1.2190476190476192,1.2190476190476192,0.3333333333333333,0.56,0.44666666666666666,0.5952380952380951,0.5952380952380951,0.7733333333333332,0.7733333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.09090909090909091,0.14545454545454545,2.2,2.2,1.1090909090909091,1.1090909090909091
FairGP_in_True_tar_0.1,s_as_input=True,5,0.85,0.625,1.0,0.8125,0.7071067811865475,0.5238095238095238,0.5238095238095238,0.8484848484848485,0.8888888888888888,0.8181818181818182,0.8535353535353536,1.0864197530864197,1.0864197530864197,1.0707070707070705,1.0707070707070705,0.6,0.6363636363636364,0.6181818181818182,0.9428571428571428,0.9428571428571428,0.9636363636363636,0.9636363636363636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.4,0.36363636363636365,0.38181818181818183,1.1,1.1,1.0363636363636364,1.0363636363636364,0.16666666666666666,0.3181818181818182,0.24242424242424243,0.5238095238095238,0.5238095238095238,0.8484848484848485,0.8484848484848485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0.26666666666666666,0.2,0.5,0.5,0.8666666666666667,0.8666666666666667
FairGP_in_True_tar_0.1,s_as_input=True,6,0.925,0.7857142857142857,1.0,0.8928571428571428,0.8393053660837311,0.5714285714285715,0.5714285714285715,0.8500000000000001,0.95,0.9,0.925,1.0555555555555556,1.0555555555555556,1.0499999999999998,1.0499999999999998,0.8,0.7777777777777778,0.788888888888889,1.0285714285714287,1.0285714285714287,1.0222222222222221,1.0222222222222221,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.19999999999999996,0.2222222222222222,0.21111111111111108,0.8999999999999998,0.8999999999999998,0.9777777777777777,0.9777777777777777,0.2,0.35,0.275,0.5714285714285715,0.5714285714285715,0.8500000000000001,0.8500000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0625,0.15384615384615385,0.10817307692307693,0.40625,0.40625,0.9086538461538461,0.9086538461538461
FairGP_in_True_tar_0.1,s_as_input=True,7,0.925,0.8333333333333334,1.0,0.9166666666666667,0.8563488385776753,0.27631578947368424,0.27631578947368424,0.5864661654135339,0.8421052631578947,1.0,0.9210526315789473,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.5,1.0,0.75,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.15789473684210525,0.5714285714285714,0.36466165413533835,0.27631578947368424,0.27631578947368424,0.5864661654135339,0.5864661654135339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1875,0.0,0.09375,0.0,1.0,1.1875,1.1875
FairGP_in_True_tar_0.1,s_as_input=True,8,0.975,0.9583333333333334,1.0,0.9791666666666667,0.949716159867634,0.8125,0.8125,0.8846153846153846,1.0,0.9615384615384616,0.9807692307692308,1.04,1.04,1.0384615384615383,1.0384615384615383,1.0,0.9411764705882353,0.9705882352941176,1.0625,1.0625,1.0588235294117647,1.0588235294117647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.05882352941176472,0.02941176470588236,0.0,1.0,0.9411764705882353,0.9411764705882353,0.5,0.6153846153846154,0.5576923076923077,0.8125,0.8125,0.8846153846153846,0.8846153846153846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,0.05,0.0,1.0,0.9,0.9
FairGP_in_True_tar_0.1,s_as_input=True,9,0.975,0.95,1.0,0.975,0.9511897312113419,0.5357142857142857,0.5357142857142857,0.7291666666666666,0.9375,1.0,0.96875,0.9375,0.9375,0.9375,0.9375,0.8333333333333334,1.0,0.9166666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666663,0.0,0.08333333333333331,0.0,1.0,1.1666666666666665,1.1666666666666665,0.3125,0.5833333333333334,0.4479166666666667,0.5357142857142857,0.5357142857142857,0.7291666666666666,0.7291666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.0,0.045454545454545456,0.0,1.0,1.0909090909090908,1.0909090909090908
FairGP_in_True_tar_0.2,s_as_input=True,0,0.95,0.8947368421052632,1.0,0.9473684210526316,0.9038438130805211,0.5128205128205128,0.5128205128205128,0.7466666666666666,0.9333333333333333,0.96,0.9466666666666667,0.9722222222222223,0.9722222222222223,0.9733333333333334,0.9733333333333334,0.8,0.9285714285714286,0.8642857142857143,0.8615384615384616,0.8615384615384616,0.8714285714285714,0.8714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.19999999999999996,0.0714285714285714,0.13571428571428568,2.8000000000000007,2.8000000000000007,1.1285714285714286,1.1285714285714286,0.26666666666666666,0.52,0.3933333333333333,0.5128205128205128,0.5128205128205128,0.7466666666666666,0.7466666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.08333333333333333,0.08712121212121213,1.090909090909091,1.090909090909091,1.0075757575757576,1.0075757575757576
FairGP_in_True_tar_0.2,s_as_input=True,1,0.9,0.7142857142857143,1.0,0.8571428571428572,0.7867957924694432,0.12280701754385964,0.12280701754385964,0.6240601503759399,0.9473684210526315,0.8571428571428571,0.9022556390977443,1.105263157894737,1.105263157894737,1.0902255639097744,1.0902255639097744,0.5,0.75,0.625,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.375,2.0,2.0,1.25,1.25,0.05263157894736842,0.42857142857142855,0.24060150375939848,0.12280701754385964,0.12280701754385964,0.6240601503759399,0.6240601503759399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05555555555555555,0.25,0.1527777777777778,0.2222222222222222,0.2222222222222222,0.8055555555555556,0.8055555555555556
FairGP_in_True_tar_0.2,s_as_input=True,2,0.9,0.8333333333333334,1.0,0.9166666666666667,0.816496580927726,0.9019607843137255,0.9019607843137255,0.948849104859335,1.0,0.8260869565217391,0.9130434782608696,1.2105263157894737,1.2105263157894737,1.1739130434782608,1.1739130434782608,1.0,0.75,0.875,1.3333333333333333,1.3333333333333333,1.25,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.125,0.0,1.0,0.75,0.75,0.47058823529411764,0.5217391304347826,0.4961636828644501,0.9019607843137255,0.9019607843137255,0.948849104859335,0.948849104859335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.36363636363636365,0.18181818181818182,0.0,1.0,0.6363636363636364,0.6363636363636364
FairGP_in_True_tar_0.2,s_as_input=True,3,0.9,0.7333333333333333,1.0,0.8666666666666667,0.7950999358860351,0.09047619047619047,0.09047619047619047,0.5213032581453634,0.9047619047619048,0.8947368421052632,0.899749373433584,1.011204481792717,1.011204481792717,1.0100250626566416,1.0100250626566416,0.3333333333333333,0.8333333333333334,0.5833333333333334,0.39999999999999997,0.39999999999999997,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.16666666666666663,0.4166666666666667,4.000000000000002,4.000000000000002,1.5,1.5,0.047619047619047616,0.5263157894736842,0.28696741854636587,0.09047619047619047,0.09047619047619047,0.5213032581453634,0.5213032581453634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.2222222222222222,0.1611111111111111,0.45000000000000007,0.45000000000000007,0.8777777777777778,0.8777777777777778
